T,RH,AH,,,,,,,,,,,,,,
17.7,51.9,1.0379,,,,,,,,,,,,,,
17.7,49.7,0.9970,,,,,,,,,,,,,,
17.9,46.1,0.9383,,,,,,,,,,,,,,
18.4,43.9,0.9192,,,,,,,,,,,,,,
18.9,42.1,0.9081,,,,,,,,,,,,,,
19.2,39.7,0.8728,,,,,,,,,,,,,,
20.8,36.6,0.8878,,,,,,,,,,,,,,
21.3,35.8,0.8975,,,,,,,,,,,,,,
21.8,34.9,0.9004,,,,,,,,,,,,,,
22.8,31.4,0.8615,,,,,,,,,,,,,,
22.9,31.3,0.8620,,,,,,,,,,,,,,
22.9,30.7,0.8461,,,,,,,,,,,,,,
23.8,29.2,0.8499,,,,,,,,,,,,,,
23.2,30.2,0.8442,,,,,,,,,,,,,,
22.4,31.3,0.8365,,,,,,,,,,,,,,
21.7,32.2,0.8250,,,,,,,,,,,,,,
20.8,33.2,0.8061,,,,,,,,,,,,,,
20.1,35.0,0.8149,,,,,,,,,,,,,,
19.5,36.9,0.8258,,,,,,,,,,,,,,
19.0,38.2,0.8327,,,,,,,,,,,,,,
18.5,39.4,0.8320,,,,,,,,,,,,,,
17.8,41.7,0.8440,,,,,,,,,,,,,,
19.2,42.0,0.9248,,,,,,,,,,,,,,
17.8,44.8,0.9048,,,,,,,,,,,,,,
17.0,47.7,0.9185,,,,,,,,,,,,,,
17.2,47.2,0.9178,,,,,,,,,,,,,,
17.3,47.6,0.9295,,,,,,,,,,,,,,
18.6,44.2,0.9385,,,,,,,,,,,,,,
20.2,37.8,0.8837,,,,,,,,,,,,,,
22.0,31.9,0.8335,,,,,,,,,,,,,,
25.5,25.9,0.8339,,,,,,,,,,,,,,
27.5,22.8,0.8249,,,,,,,,,,,,,,
28.7,20.7,0.8024,,,,,,,,,,,,,,
29.1,19.6,0.7771,,,,,,,,,,,,,,
29.8,18.4,0.7595,,,,,,,,,,,,,,
32.0,15.0,0.7028,,,,,,,,,,,,,,
30.3,17.0,0.7232,,,,,,,,,,,,,,
31.7,16.2,0.7450,,,,,,,,,,,,,,
29.2,19.6,0.7817,,,,,,,,,,,,,,
27.4,23.8,0.8580,,,,,,,,,,,,,,
25.0,26.9,0.8408,,,,,,,,,,,,,,
23.6,30.1,0.8663,,,,,,,,,,,,,,
22.3,33.6,0.8913,,,,,,,,,,,,,,
21.4,36.9,0.9271,,,,,,,,,,,,,,
20.6,39.9,0.9597,,,,,,,,,,,,,,
19.7,43.2,0.9812,,,,,,,,,,,,,,
19.7,42.4,0.9636,,,,,,,,,,,,,,
18.9,45.0,0.9703,,,,,,,,,,,,,,
18.7,45.4,0.9694,,,,,,,,,,,,,,
16.4,52.4,0.9709,,,,,,,,,,,,,,
16.6,52.1,0.9785,,,,,,,,,,,,,,
17.4,50.9,1.0017,,,,,,,,,,,,,,
19.3,46.0,1.0185,,,,,,,,,,,,,,
20.9,43.6,1.0683,,,,,,,,,,,,,,
25.6,33.3,1.0773,,,,,,,,,,,,,,
28.9,26.0,1.0188,,,,,,,,,,,,,,
30.3,22.8,0.9695,,,,,,,,,,,,,,
30.9,24.4,1.0724,,,,,,,,,,,,,,
30.5,26.2,1.1278,,,,,,,,,,,,,,
30.7,23.4,1.0150,,,,,,,,,,,,,,
28.1,29.8,1.1132,,,,,,,,,,,,,,
26.9,32.2,1.1267,,,,,,,,,,,,,,
26.0,34.6,1.1485,,,,,,,,,,,,,,
24.5,37.7,1.1454,,,,,,,,,,,,,,
21.7,46.9,1.2044,,,,,,,,,,,,,,
19.3,68.8,1.5190,,,,,,,,,,,,,,
17.6,81.6,1.6296,,,,,,,,,,,,,,
17.8,80.3,1.6212,,,,,,,,,,,,,,
18.6,75.7,1.6074,,,,,,,,,,,,,,
19.6,68.4,1.5443,,,,,,,,,,,,,,
18.0,76.4,1.5608,,,,,,,,,,,,,,
17.3,77.2,1.5104,,,,,,,,,,,,,,
16.5,82.3,1.5318,,,,,,,,,,,,,,
16.8,81.3,1.5452,,,,,,,,,,,,,,
17.3,78.6,1.5412,,,,,,,,,,,,,,
16.9,80.9,1.5472,,,,,,,,,,,,,,
17.1,79.8,1.5420,,,,,,,,,,,,,,
18.5,70.3,1.4826,,,,,,,,,,,,,,
19.6,66.7,1.5023,,,,,,,,,,,,,,
20.4,63.1,1.4969,,,,,,,,,,,,,,
21.6,61.8,1.5775,,,,,,,,,,,,,,
24.0,49.3,1.4509,,,,,,,,,,,,,,
25.7,43.8,1.4262,,,,,,,,,,,,,,
24.6,47.5,1.4487,,,,,,,,,,,,,,
24.8,47.4,1.4628,,,,,,,,,,,,,,
23.7,50.5,1.4636,,,,,,,,,,,,,,
23.0,53.8,1.4968,,,,,,,,,,,,,,
21.5,65.8,1.6688,,,,,,,,,,,,,,
21.0,66.9,1.6436,,,,,,,,,,,,,,
20.6,68.1,1.6329,,,,,,,,,,,,,,
20.5,66.9,1.5914,,,,,,,,,,,,,,
20.2,65.2,1.5251,,,,,,,,,,,,,,
19.5,68.0,1.5269,,,,,,,,,,,,,,
19.9,66.4,1.5203,,,,,,,,,,,,,,
19.1,69.0,1.5043,,,,,,,,,,,,,,
18.5,70.7,1.4962,,,,,,,,,,,,,,
18.9,67.8,1.4689,,,,,,,,,,,,,,
20.0,63.7,1.4742,,,,,,,,,,,,,,
19.8,64.7,1.4769,,,,,,,,,,,,,,
19.7,65.3,1.4843,,,,,,,,,,,,,,
20.8,62.0,1.5002,,,,,,,,,,,,,,
22.2,56.6,1.4973,,,,,,,,,,,,,,
24.3,49.0,1.4724,,,,,,,,,,,,,,
25.0,46.5,1.4492,,,,,,,,,,,,,,
28.9,34.8,1.3603,,,,,,,,,,,,,,
29.6,33.4,1.3581,,,,,,,,,,,,,,
30.9,30.7,1.3493,,,,,,,,,,,,,,
31.8,31.0,1.4286,,,,,,,,,,,,,,
31.4,31.2,1.4127,,,,,,,,,,,,,,
28.9,35.7,1.3985,,,,,,,,,,,,,,
27.2,42.5,1.5135,,,,,,,,,,,,,,
26.2,46.4,1.5573,,,,,,,,,,,,,,
24.5,51.0,1.5454,,,,,,,,,,,,,,
22.8,56.1,1.5353,,,,,,,,,,,,,,
21.9,60.9,1.5799,,,,,,,,,,,,,,
21.7,61.0,1.5617,,,,,,,,,,,,,,
20.8,64.8,1.5680,,,,,,,,,,,,,,
20.3,70.9,1.6699,,,,,,,,,,,,,,
18.9,79.0,1.7040,,,,,,,,,,,,,,
18.1,64.6,1.3276,,,,,,,,,,,,,,
18.6,64.5,1.3655,,,,,,,,,,,,,,
17.6,67.4,1.3460,,,,,,,,,,,,,,
17.6,67.6,1.3479,,,,,,,,,,,,,,
19.0,61.7,1.3393,,,,,,,,,,,,,,
20.0,57.4,1.3268,,,,,,,,,,,,,,
22.6,45.9,1.2418,,,,,,,,,,,,,,
27.3,34.3,1.2284,,,,,,,,,,,,,,
27.4,31.0,1.1184,,,,,,,,,,,,,,
26.2,33.6,1.1244,,,,,,,,,,,,,,
26.8,32.4,1.1263,,,,,,,,,,,,,,
28.7,27.7,1.0710,,,,,,,,,,,,,,
28.7,25.0,0.9684,,,,,,,,,,,,,,
29.1,22.3,0.8811,,,,,,,,,,,,,,
29.0,24.5,0.9655,,,,,,,,,,,,,,
27.2,28.3,1.0016,,,,,,,,,,,,,,
25.3,30.0,0.9520,,,,,,,,,,,,,,
24.1,34.8,1.0333,,,,,,,,,,,,,,
23.0,43.1,1.1993,,,,,,,,,,,,,,
22.1,43.9,1.1521,,,,,,,,,,,,,,
21.0,48.1,1.1780,,,,,,,,,,,,,,
20.6,49.2,1.1754,,,,,,,,,,,,,,
21.2,47.6,1.1799,,,,,,,,,,,,,,
21.0,50.1,1.2338,,,,,,,,,,,,,,
20.1,53.1,1.2342,,,,,,,,,,,,,,
19.0,54.0,1.1745,,,,,,,,,,,,,,
19.2,51.1,1.1240,,,,,,,,,,,,,,
19.2,53.1,1.1662,,,,,,,,,,,,,,
20.6,49.0,1.1748,,,,,,,,,,,,,,
21.8,41.9,1.0770,,,,,,,,,,,,,,
22.8,37.6,1.0315,,,,,,,,,,,,,,
24.8,31.3,0.9646,,,,,,,,,,,,,,
26.0,29.4,0.9760,,,,,,,,,,,,,,
27.0,27.8,0.9731,,,,,,,,,,,,,,
27.0,29.3,1.0277,,,,,,,,,,,,,,
27.0,29.6,1.0419,,,,,,,,,,,,,,
25.8,32.6,1.0720,,,,,,,,,,,,,,
26.2,32.6,1.0892,,,,,,,,,,,,,,
28.3,27.5,1.0418,,,,,,,,,,,,,,
26.5,29.7,1.0123,,,,,,,,,,,,,,
25.7,31.8,1.0317,,,,,,,,,,,,,,
24.4,35.2,1.0632,,,,,,,,,,,,,,
23.5,36.9,1.0518,,,,,,,,,,,,,,
22.4,41.0,1.1006,,,,,,,,,,,,,,
21.7,44.7,1.1451,,,,,,,,,,,,,,
21.1,48.1,1.1864,,,,,,,,,,,,,,
20.7,50.0,1.2030,,,,,,,,,,,,,,
19.8,53.1,1.2093,,,,,,,,,,,,,,
19.8,53.6,1.2214,,,,,,,,,,,,,,
19.6,54.8,1.2360,,,,,,,,,,,,,,
19.3,57.3,1.2650,,,,,,,,,,,,,,
19.7,58.4,1.3254,,,,,,,,,,,,,,
19.8,59.4,1.3554,,,,,,,,,,,,,,
20.9,54.8,1.3387,,,,,,,,,,,,,,
22.4,47.9,1.2817,,,,,,,,,,,,,,
24.1,41.3,1.2202,,,,,,,,,,,,,,
25.9,36.9,1.2133,,,,,,,,,,,,,,
30.7,26.0,1.1287,,,,,,,,,,,,,,
30.3,25.2,1.0652,,,,,,,,,,,,,,
30.1,25.4,1.0641,,,,,,,,,,,,,,
27.6,35.1,1.2764,,,,,,,,,,,,,,
26.6,47.6,1.6315,,,,,,,,,,,,,,
30.4,31.3,1.3331,,,,,,,,,,,,,,
27.8,35.0,1.2820,,,,,,,,,,,,,,
26.6,37.9,1.2994,,,,,,,,,,,,,,
23.4,44.4,1.2646,,,,,,,,,,,,,,
23.0,51.1,1.4175,,,,,,,,,,,,,,
22.1,53.5,1.4087,,,,,,,,,,,,,,
21.6,53.6,1.3674,,,,,,,,,,,,,,
21.9,52.7,1.3650,,,,,,,,,,,,,,
21.3,54.9,1.3707,,,,,,,,,,,,,,
17.5,79.1,1.5709,,,,,,,,,,,,,,
17.6,78.6,1.5722,,,,,,,,,,,,,,
17.1,81.8,1.5816,,,,,,,,,,,,,,
16.6,80.2,1.5002,,,,,,,,,,,,,,
16.8,77.4,1.4739,,,,,,,,,,,,,,
18.3,66.5,1.3810,,,,,,,,,,,,,,
20.4,55.8,1.3196,,,,,,,,,,,,,,
21.6,45.3,1.1533,,,,,,,,,,,,,,
23.1,39.4,1.0983,,,,,,,,,,,,,,
25.4,31.6,1.0058,,,,,,,,,,,,,,
26.6,29.0,0.9928,,,,,,,,,,,,,,
25.9,28.8,0.9475,,,,,,,,,,,,,,
27.0,28.0,0.9810,,,,,,,,,,,,,,
23.6,38.1,1.0917,,,,,,,,,,,,,,
25.9,32.0,1.0529,,,,,,,,,,,,,,
26.3,31.5,1.0643,,,,,,,,,,,,,,
23.9,36.8,1.0774,,,,,,,,,,,,,,
23.7,36.8,1.0609,,,,,,,,,,,,,,
22.5,37.8,1.0157,,,,,,,,,,,,,,
21.8,39.2,1.0115,,,,,,,,,,,,,,
20.9,42.6,1.0400,,,,,,,,,,,,,,
20.0,45.6,1.0555,,,,,,,,,,,,,,
19.3,47.9,1.0590,,,,,,,,,,,,,,
18.7,49.0,1.0462,,,,,,,,,,,,,,
17.8,54.1,1.0938,,,,,,,,,,,,,,
18.6,52.7,1.1206,,,,,,,,,,,,,,
17.2,57.9,1.1270,,,,,,,,,,,,,,
18.2,54.1,1.1155,,,,,,,,,,,,,,
17.3,57.6,1.1289,,,,,,,,,,,,,,
19.9,49.4,1.1354,,,,,,,,,,,,,,
21.7,44.2,1.1321,,,,,,,,,,,,,,
23.5,40.0,1.1386,,,,,,,,,,,,,,
28.4,29.7,1.1345,,,,,,,,,,,,,,
31.6,24.1,1.0994,,,,,,,,,,,,,,
31.3,24.1,1.0816,,,,,,,,,,,,,,
34.4,20.4,1.0857,,,,,,,,,,,,,,
33.7,21.3,1.0988,,,,,,,,,,,,,,
35.9,18.9,1.0999,,,,,,,,,,,,,,
34.3,19.4,1.0279,,,,,,,,,,,,,,
33.5,19.9,1.0112,,,,,,,,,,,,,,
30.5,24.2,1.0386,,,,,,,,,,,,,,
30.3,26.2,1.1161,,,,,,,,,,,,,,
27.0,36.7,1.2898,,,,,,,,,,,,,,
24.6,41.9,1.2752,,,,,,,,,,,,,,
23.3,44.5,1.2566,,,,,,,,,,,,,,
22.4,46.9,1.2544,,,,,,,,,,,,,,
21.7,50.8,1.3019,,,,,,,,,,,,,,
21.0,51.9,1.2794,,,,,,,,,,,,,,
20.5,54.3,1.2926,,,,,,,,,,,,,,
20.9,52.5,1.2852,,,,,,,,,,,,,,
21.0,53.1,1.3031,,,,,,,,,,,,,,
19.6,57.1,1.2851,,,,,,,,,,,,,,
18.2,62.3,1.2903,,,,,,,,,,,,,,
19.5,57.7,1.2966,,,,,,,,,,,,,,
21.6,51.7,1.3130,,,,,,,,,,,,,,
23.9,44.4,1.3029,,,,,,,,,,,,,,
28.1,35.2,1.3120,,,,,,,,,,,,,,
31.4,28.6,1.2980,,,,,,,,,,,,,,
33.7,25.5,1.3095,,,,,,,,,,,,,,
35.9,20.8,1.2103,,,,,,,,,,,,,,
37.5,18.1,1.1529,,,,,,,,,,,,,,
37.7,17.7,1.1383,,,,,,,,,,,,,,
37.8,17.4,1.1219,,,,,,,,,,,,,,
36.6,20.6,1.2445,,,,,,,,,,,,,,
32.5,26.0,1.2502,,,,,,,,,,,,,,
30.8,27.2,1.1832,,,,,,,,,,,,,,
28.8,30.2,1.1761,,,,,,,,,,,,,,
26.7,35.4,1.2233,,,,,,,,,,,,,,
25.3,40.7,1.2910,,,,,,,,,,,,,,
24.9,41.2,1.2809,,,,,,,,,,,,,,
23.7,45.1,1.3033,,,,,,,,,,,,,,
22.5,49.0,1.3151,,,,,,,,,,,,,,
22.3,50.6,1.3486,,,,,,,,,,,,,,
22.0,50.5,1.3199,,,,,,,,,,,,,,
20.8,54.4,1.3229,,,,,,,,,,,,,,
20.3,56.0,1.3204,,,,,,,,,,,,,,
20.5,54.8,1.3073,,,,,,,,,,,,,,
21.7,50.6,1.2981,,,,,,,,,,,,,,
23.4,46.1,1.3091,,,,,,,,,,,,,,
25.1,43.0,1.3488,,,,,,,,,,,,,,
30.1,32.8,1.3795,,,,,,,,,,,,,,
34.7,25.9,1.4069,,,,,,,,,,,,,,
37.2,23.2,1.4478,,,,,,,,,,,,,,
39.5,18.3,1.2917,,,,,,,,,,,,,,
40.6,15.3,1.1485,,,,,,,,,,,,,,
40.3,16.1,1.1896,,,,,,,,,,,,,,
40.3,14.2,1.0494,,,,,,,,,,,,,,
39.6,16.7,1.1867,,,,,,,,,,,,,,
37.3,23.4,1.4672,,,,,,,,,,,,,,
33.7,27.7,1.4213,,,,,,,,,,,,,,
30.7,32.2,1.3983,,,,,,,,,,,,,,
28.4,35.7,1.3549,,,,,,,,,,,,,,
26.5,38.6,1.3154,,,,,,,,,,,,,,
25.4,40.1,1.2822,,,,,,,,,,,,,,
24.1,43.3,1.2839,,,,,,,,,,,,,,
23.9,45.6,1.3328,,,,,,,,,,,,,,
22.0,52.8,1.3752,,,,,,,,,,,,,,
20.7,56.1,1.3565,,,,,,,,,,,,,,
20.1,57.3,1.3352,,,,,,,,,,,,,,
19.5,59.4,1.3328,,,,,,,,,,,,,,
20.0,56.6,1.3095,,,,,,,,,,,,,,
21.7,53.9,1.3848,,,,,,,,,,,,,,
23.7,49.0,1.4152,,,,,,,,,,,,,,
25.9,44.3,1.4544,,,,,,,,,,,,,,
30.1,34.3,1.4414,,,,,,,,,,,,,,
33.5,27.2,1.3859,,,,,,,,,,,,,,
35.4,26.1,1.4806,,,,,,,,,,,,,,
37.9,23.2,1.5020,,,,,,,,,,,,,,
39.7,18.7,1.3306,,,,,,,,,,,,,,
40.4,17.2,1.2774,,,,,,,,,,,,,,
40.0,18.8,1.3630,,,,,,,,,,,,,,
38.9,18.8,1.2900,,,,,,,,,,,,,,
35.8,22.1,1.2792,,,,,,,,,,,,,,
33.1,25.9,1.2923,,,,,,,,,,,,,,
30.9,28.2,1.2388,,,,,,,,,,,,,,
27.5,32.6,1.1760,,,,,,,,,,,,,,
26.3,34.3,1.1605,,,,,,,,,,,,,,
25.5,34.1,1.0968,,,,,,,,,,,,,,
24.7,39.3,1.2065,,,,,,,,,,,,,,
24.2,39.5,1.1764,,,,,,,,,,,,,,
24.8,37.8,1.1639,,,,,,,,,,,,,,
22.7,43.8,1.1952,,,,,,,,,,,,,,
22.0,44.3,1.1553,,,,,,,,,,,,,,
19.3,51.4,1.1364,,,,,,,,,,,,,,
19.8,50.4,1.1525,,,,,,,,,,,,,,
20.5,48.2,1.1474,,,,,,,,,,,,,,
22.8,42.7,1.1667,,,,,,,,,,,,,,
25.6,35.8,1.1548,,,,,,,,,,,,,,
30.0,27.5,1.1509,,,,,,,,,,,,,,
34.4,21.0,1.1248,,,,,,,,,,,,,,
35.9,19.6,1.1422,,,,,,,,,,,,,,
37.2,18.2,1.1389,,,,,,,,,,,,,,
37.3,16.6,1.0435,,,,,,,,,,,,,,
37.4,14.9,0.9413,,,,,,,,,,,,,,
36.4,15.1,0.9005,,,,,,,,,,,,,,
35.4,14.7,0.8323,,,,,,,,,,,,,,
34.2,14.2,0.7502,,,,,,,,,,,,,,
31.1,18.7,0.8302,,,,,,,,,,,,,,
29.1,22.0,0.8702,,,,,,,,,,,,,,
27.2,22.5,0.7962,,,,,,,,,,,,,,
25.3,24.6,0.7796,,,,,,,,,,,,,,
24.9,27.2,0.8429,,,,,,,,,,,,,,
23.5,32.2,0.9220,,,,,,,,,,,,,,
23.5,32.7,0.9349,,,,,,,,,,,,,,
24.1,32.0,0.9467,,,,,,,,,,,,,,
22.6,34.8,0.9441,,,,,,,,,,,,,,
20.8,40.2,0.9725,,,,,,,,,,,,,,
18.8,46.6,1.0027,,,,,,,,,,,,,,
19.8,46.0,1.0524,,,,,,,,,,,,,,
21.3,42.3,1.0625,,,,,,,,,,,,,,
21.3,41.8,1.0449,,,,,,,,,,,,,,
24.0,36.6,1.0772,,,,,,,,,,,,,,
27.2,30.7,1.0884,,,,,,,,,,,,,,
32.3,23.6,1.1271,,,,,,,,,,,,,,
31.9,25.8,1.2023,,,,,,,,,,,,,,
35.1,21.8,1.2093,,,,,,,,,,,,,,
36.0,20.5,1.1995,,,,,,,,,,,,,,
37.0,20.1,1.2423,,,,,,,,,,,,,,
36.4,21.0,1.2515,,,,,,,,,,,,,,
35.2,22.6,1.2670,,,,,,,,,,,,,,
32.5,27.6,1.3229,,,,,,,,,,,,,,
29.1,35.1,1.3919,,,,,,,,,,,,,,
26.9,39.7,1.3898,,,,,,,,,,,,,,
26.1,42.2,1.4039,,,,,,,,,,,,,,
25.5,43.8,1.4095,,,,,,,,,,,,,,
24.9,45.6,1.4135,,,,,,,,,,,,,,
25.2,45.2,1.4262,,,,,,,,,,,,,,
25.4,45.5,1.4570,,,,,,,,,,,,,,
26.2,43.6,1.4599,,,,,,,,,,,,,,
24.3,48.2,1.4476,,,,,,,,,,,,,,
24.4,48.3,1.4499,,,,,,,,,,,,,,
23.3,51.0,1.4346,,,,,,,,,,,,,,
21.6,48.1,1.2259,,,,,,,,,,,,,,
21.4,47.8,1.2005,,,,,,,,,,,,,,
20.5,46.8,1.1152,,,,,,,,,,,,,,
20.8,40.7,0.9882,,,,,,,,,,,,,,
22.3,35.3,0.9371,,,,,,,,,,,,,,
21.7,38.3,0.9842,,,,,,,,,,,,,,
24.4,29.6,0.8921,,,,,,,,,,,,,,
23.4,34.9,0.9910,,,,,,,,,,,,,,
23.5,35.2,1.0019,,,,,,,,,,,,,,
22.4,39.0,1.0400,,,,,,,,,,,,,,
22.0,41.7,1.0865,,,,,,,,,,,,,,
21.7,42.7,1.0949,,,,,,,,,,,,,,
20.7,43.4,1.0470,,,,,,,,,,,,,,
20.3,42.6,1.0045,,,,,,,,,,,,,,
20.3,44.1,1.0392,,,,,,,,,,,,,,
20.1,45.2,1.0538,,,,,,,,,,,,,,
19.8,45.7,1.0424,,,,,,,,,,,,,,
19.6,45.3,1.0244,,,,,,,,,,,,,,
19.4,45.9,1.0242,,,,,,,,,,,,,,
19.7,44.8,1.0172,,,,,,,,,,,,,,
19.5,46.3,1.0363,,,,,,,,,,,,,,
19.0,49.0,1.0630,,,,,,,,,,,,,,
19.1,50.7,1.1090,,,,,,,,,,,,,,
19.1,52.7,1.1545,,,,,,,,,,,,,,
20.3,49.3,1.1596,,,,,,,,,,,,,,
21.1,46.2,1.1389,,,,,,,,,,,,,,
21.5,44.5,1.1290,,,,,,,,,,,,,,
22.4,43.6,1.1637,,,,,,,,,,,,,,
24.8,39.1,1.2039,,,,,,,,,,,,,,
23.9,42.1,1.2335,,,,,,,,,,,,,,
25.5,38.3,1.2328,,,,,,,,,,,,,,
25.4,39.2,1.2534,,,,,,,,,,,,,,
25.6,37.0,1.2006,,,,,,,,,,,,,,
24.5,38.4,1.1669,,,,,,,,,,,,,,
23.9,39.9,1.1639,,,,,,,,,,,,,,
24.2,39.2,1.1665,,,,,,,,,,,,,,
23.5,41.2,1.1759,,,,,,,,,,,,,,
22.3,44.9,1.1973,,,,,,,,,,,,,,
21.7,46.5,1.1917,,,,,,,,,,,,,,
22.0,44.9,1.1699,,,,,,,,,,,,,,
22.2,44.1,1.1654,,,,,,,,,,,,,,
21.8,45.6,1.1763,,,,,,,,,,,,,,
21.6,46.0,1.1742,,,,,,,,,,,,,,
21.6,45.8,1.1715,,,,,,,,,,,,,,
20.7,48.3,1.1680,,,,,,,,,,,,,,
21.0,47.1,1.1546,,,,,,,,,,,,,,
20.8,48.5,1.1800,,,,,,,,,,,,,,
20.8,49.4,1.1994,,,,,,,,,,,,,,
19.9,51.8,1.1911,,,,,,,,,,,,,,
20.9,49.3,1.2049,,,,,,,,,,,,,,
23.7,39.9,1.1508,,,,,,,,,,,,,,
25.3,35.8,1.1421,,,,,,,,,,,,,,
28.8,29.1,1.1349,,,,,,,,,,,,,,
30.3,26.9,1.1399,,,,,,,,,,,,,,
32.8,23.3,1.1380,,,,,,,,,,,,,,
33.9,21.4,1.1135,,,,,,,,,,,,,,
35.3,19.6,1.1036,,,,,,,,,,,,,,
34.0,20.8,1.0898,,,,,,,,,,,,,,
35.3,18.8,1.0572,,,,,,,,,,,,,,
32.6,24.1,1.1688,,,,,,,,,,,,,,
30.8,28.7,1.2507,,,,,,,,,,,,,,
28.7,31.2,1.2099,,,,,,,,,,,,,,
26.8,35.1,1.2201,,,,,,,,,,,,,,
25.3,39.4,1.2524,,,,,,,,,,,,,,
23.9,40.9,1.1966,,,,,,,,,,,,,,
23.0,44.4,1.2354,,,,,,,,,,,,,,
22.2,53.9,1.4237,,,,,,,,,,,,,,
20.9,59.8,1.4659,,,,,,,,,,,,,,
21.3,58.1,1.4570,,,,,,,,,,,,,,
20.8,58.4,1.4189,,,,,,,,,,,,,,
20.3,58.9,1.3878,,,,,,,,,,,,,,
21.3,54.5,1.3682,,,,,,,,,,,,,,
20.6,57.4,1.3753,,,,,,,,,,,,,,
21.3,56.9,1.4226,,,,,,,,,,,,,,
22.9,52.4,1.4442,,,,,,,,,,,,,,
24.1,46.5,1.3802,,,,,,,,,,,,,,
27.1,38.8,1.3705,,,,,,,,,,,,,,
28.4,34.4,1.3140,,,,,,,,,,,,,,
30.1,30.9,1.2958,,,,,,,,,,,,,,
32.7,25.8,1.2547,,,,,,,,,,,,,,
32.4,25.7,1.2271,,,,,,,,,,,,,,
33.6,24.4,1.2472,,,,,,,,,,,,,,
33.0,26.0,1.2877,,,,,,,,,,,,,,
33.2,23.7,1.1855,,,,,,,,,,,,,,
31.3,25.4,1.1415,,,,,,,,,,,,,,
28.3,31.7,1.1968,,,,,,,,,,,,,,
26.5,35.0,1.1981,,,,,,,,,,,,,,
24.4,40.0,1.2079,,,,,,,,,,,,,,
23.3,43.4,1.2251,,,,,,,,,,,,,,
22.5,45.3,1.2226,,,,,,,,,,,,,,
21.8,47.8,1.2325,,,,,,,,,,,,,,
20.9,51.0,1.2446,,,,,,,,,,,,,,
20.8,51.7,1.2572,,,,,,,,,,,,,,
19.3,57.1,1.2661,,,,,,,,,,,,,,
18.8,58.6,1.2581,,,,,,,,,,,,,,
20.2,53.8,1.2569,,,,,,,,,,,,,,
18.3,60.8,1.2635,,,,,,,,,,,,,,
20.2,54.5,1.2777,,,,,,,,,,,,,,
21.9,49.9,1.2957,,,,,,,,,,,,,,
25.2,43.0,1.3548,,,,,,,,,,,,,,
28.0,36.6,1.3603,,,,,,,,,,,,,,
27.1,38.3,1.3548,,,,,,,,,,,,,,
27.4,37.0,1.3319,,,,,,,,,,,,,,
29.4,32.9,1.3244,,,,,,,,,,,,,,
31.3,28.7,1.2885,,,,,,,,,,,,,,
31.5,28.7,1.3058,,,,,,,,,,,,,,
30.9,30.3,1.3306,,,,,,,,,,,,,,
31.4,30.3,1.3689,,,,,,,,,,,,,,
30.7,31.4,1.3686,,,,,,,,,,,,,,
29.0,33.4,1.3169,,,,,,,,,,,,,,
27.3,37.5,1.3420,,,,,,,,,,,,,,
25.8,40.9,1.3389,,,,,,,,,,,,,,
25.2,43.0,1.3580,,,,,,,,,,,,,,
24.6,45.8,1.3940,,,,,,,,,,,,,,
24.0,47.3,1.3914,,,,,,,,,,,,,,
23.5,48.3,1.3777,,,,,,,,,,,,,,
24.0,45.8,1.3467,,,,,,,,,,,,,,
22.2,50.7,1.3405,,,,,,,,,,,,,,
22.8,48.1,1.3184,,,,,,,,,,,,,,
21.9,50.1,1.3002,,,,,,,,,,,,,,
20.4,54.1,1.2800,,,,,,,,,,,,,,
20.8,52.6,1.2758,,,,,,,,,,,,,,
22.8,47.9,1.3156,,,,,,,,,,,,,,
25.2,42.9,1.3552,,,,,,,,,,,,,,
29.3,34.8,1.3970,,,,,,,,,,,,,,
33.3,27.8,1.4013,,,,,,,,,,,,,,
34.9,24.9,1.3630,,,,,,,,,,,,,,
36.1,22.7,1.3324,,,,,,,,,,,,,,
37.6,21.1,1.3478,,,,,,,,,,,,,,
37.3,21.9,1.3761,,,,,,,,,,,,,,
37.2,21.6,1.3514,,,,,,,,,,,,,,
35.6,23.4,1.3410,,,,,,,,,,,,,,
33.1,24.3,1.2087,,,,,,,,,,,,,,
30.5,29.5,1.2635,,,,,,,,,,,,,,
28.7,35.8,1.3834,,,,,,,,,,,,,,
26.6,42.2,1.4452,,,,,,,,,,,,,,
25.2,46.6,1.4733,,,,,,,,,,,,,,
24.7,47.7,1.4649,,,,,,,,,,,,,,
24.4,47.4,1.4301,,,,,,,,,,,,,,
23.3,49.9,1.4135,,,,,,,,,,,,,,
23.8,47.3,1.3783,,,,,,,,,,,,,,
22.9,50.2,1.3808,,,,,,,,,,,,,,
21.2,55.0,1.3689,,,,,,,,,,,,,,
21.7,52.6,1.3500,,,,,,,,,,,,,,
22.8,48.9,1.3424,,,,,,,,,,,,,,
23.5,47.6,1.3611,,,,,,,,,,,,,,
24.6,44.9,1.3661,,,,,,,,,,,,,,
27.0,39.9,1.4020,,,,,,,,,,,,,,
29.3,35.9,1.4411,,,,,,,,,,,,,,
31.2,32.4,1.4517,,,,,,,,,,,,,,
34.4,26.6,1.4230,,,,,,,,,,,,,,
36.1,22.1,1.3004,,,,,,,,,,,,,,
-200,-200,-200,,,,,,,,,,,,,,
-200,-200,-200,,,,,,,,,,,,,,
-200,-200,-200,,,,,,,,,,,,,,
-200,-200,-200,,,,,,,,,,,,,,
